s_inhib,neuron,name_mover,stat_in,stat_out,z_in,z_out,path_z
L7H9,L8N1747,L9H6,0.0690063949083039,0.06036297152346161,4.316370780264642,3.7658452058885605,3.7658452058885605
L7H9,L7N2980,L9H6,0.08709214577110093,0.06099276460661631,5.80353843993669,3.756940733968601,3.756940733968601
L7H3,L7N2980,L9H6,0.07314415635864319,0.06099276460661631,4.347732739366306,3.756940733968601,3.756940733968601
L8H10,L8N585,L9H6,0.06814076895897614,0.060242619675408705,3.825509809365255,3.7500100373383978,3.7500100373383978
L7H3,L7N1427,L9H6,0.06741500750039092,0.06176333087645364,3.7497592737562333,3.858648642211433,3.7497592737562333
L7H3,L8N2812,L9H9,0.06589458717821628,0.060231675163873774,3.9423088479906423,3.7485700246783624,3.7485700246783624
L7H3,L7N1049,L9H6,0.06776120582263573,0.0607760980346652,3.785893334096267,3.728342669555602,3.728342669555602
L7H9,L7N1265,L9H6,0.06719771123479003,0.08364875172389712,3.727079220537101,6.747329943921471,3.727079220537101
L7H9,L7N1265,L10H0,0.06719771123479003,0.09056002625818949,3.727079220537101,8.256059201346554,3.727079220537101
L7H9,L7N1265,L9H9,0.06719771123479003,0.08926612836787158,3.727079220537101,7.488773802334056,3.727079220537101
L8H10,L8N1324,L10H0,0.06702501659307936,0.06297302564567682,3.7090544116255164,4.01831761476581,3.7090544116255164
L7H9,L7N1195,L9H6,0.06698549231669741,0.06465992337298763,3.7049291097510855,4.2409731422398975,3.7049291097510855
L7H9,L7N1195,L10H0,0.06698549231669741,0.061818984412972615,3.7049291097510855,4.109183264094943,3.7049291097510855
L7H9,L7N1195,L9H9,0.06698549231669741,0.06457472897661967,3.7049291097510855,4.229728238085936,3.7049291097510855
L7H3,L8N1764,L9H9,0.10778510131992623,0.05987313132860152,8.9778534648035,3.701394994498,3.701394994498
L7H9,L8N1764,L9H9,0.07518286379483939,0.05987313132860152,5.058827283598366,3.701394994498,3.701394994498
L7H9,L8N1212,L9H9,0.0712549162627142,0.05985252611270362,4.586659408465455,3.698683884764045,3.698683884764045
L7H9,L8N1961,L9H9,0.06386644840006507,0.12021476301139175,3.698511809073424,11.640782081174212,3.698511809073424
L7H9,L8N1961,L9H6,0.06386644840006507,0.10455418944554488,3.698511809073424,9.580258491221498,3.698511809073424
